rating,loves_count,reviews_num,size_price_ratio,brand_size,brand_encoded,hierarchy_2_encoded
3.6667,8545,66.0,24.705882352941178,18,25,8
3.407,10382,86.0,34.0,63,15,8
4.2258,31935,527.0,8.5,8,112,7
4.5,3441,10.0,36.25,27,14,6
4.12,26449,50.0,70.0,8,45,9
4.7988,37850,338.0,28.0,27,14,4
4.2926,29757,352.0,3.5,18,48,0
3.8092,19591,131.0,75.0,21,120,4
4.2656,12011,64.0,44.11764705882353,32,87,6
4.413,7205,46.0,44.11764705882353,32,87,6
4.561,11444,82.0,44.11764705882353,32,87,6
3.6429,4555,42.0,2.514792899408284,63,15,0
4.1276,129380,2327.0,67.79661016949153,16,116,6
4.2394,11352,142.0,4.588235294117647,27,90,0
4.0978,27465,1002.0,14.814814814814813,9,105,0
4.5484,48079,1158.0,92.0,32,81,9
4.25,4496,16.0,31.6,27,14,4
3.4242,19635,132.0,196.0,31,62,1
4.3167,14190,120.0,14.0,31,62,6
3.3333,3162,33.0,144.0,27,0,1
4.1495,5224,107.0,140.625,9,105,6
4.1883,538512,6626.0,4.875,17,135,0
4.45,169077,1480.0,24.0,17,135,6
4.5667,5268,30.0,57.0,1,126,6
4.2828,51091,686.0,142.85714285714286,25,121,3
4.3514,276933,5711.0,71.76470588235294,16,116,9
4.3438,6898,32.0,61.53846153846153,19,22,9
4.187,78101,492.0,185.18518518518516,4,119,2
4.4029,37154,546.0,21.875,19,32,6
4.2157,6349,51.0,46.42857142857142,15,58,1
4.2564,7000,195.0,2.9850746268656714,1,106,0
3.6986,20835,365.0,57.64705882352941,31,62,6
4.2146,82269,1962.0,31.764705882352942,27,90,6
4.444,12111,250.0,47.5,27,0,9
3.9438,24689,160.0,296.55172413793105,63,15,9
4.35,6285,40.0,4000.0,63,15,0
4.0238,21322,252.0,28.75,63,15,6
4.1203,202154,1588.0,85.71428571428572,1,109,3
4.2445,52753,642.0,11.0,31,62,9
4.2899,100030,1704.0,5.384615384615385,21,86,0
4.5474,75141,897.0,11.666666666666666,21,86,0
4.2767,288096,2602.0,47.337278106508876,28,28,4
3.6316,19092,361.0,31.764705882352942,32,87,6
3.9873,17693,158.0,31.764705882352942,15,17,7
4.1442,170002,1401.0,5.714285714285714,26,38,0
4.2371,39128,426.0,30.76923076923077,26,38,6
3.875,9654,112.0,116.0,18,24,1
4.016,21384,1438.0,200.0,25,68,5
4.016,96998,1438.0,200.0,25,68,6
4.0704,5684,71.0,188.23529411764707,25,68,6
4.0,9470,29.0,265.0,25,68,9
3.4333,11182,60.0,540.0,25,68,1
3.9758,21318,124.0,22.619047619047617,25,68,0
4.2093,16198,43.0,182.35294117647058,25,68,4
4.3947,7576,38.0,88.0,25,68,4
4.2464,16148,69.0,70.58823529411765,25,68,8
4.0149,422989,4356.0,42.35294117647059,25,121,6
4.3239,28043,355.0,40.588235294117645,32,81,8
3.9265,49202,626.0,52.0,32,81,9
4.1578,119777,2230.0,85.0,16,116,9
3.9763,114024,5401.0,50.0,17,26,5
3.9913,11710,1146.0,44.0,16,116,6
4.4004,41488,1139.0,72.0,15,64,6
3.9289,18338,253.0,75.0,21,120,4
4.8027,4968,147.0,4.0,15,58,0
4.0571,100290,665.0,41.1764705882353,25,121,4
4.0505,24606,416.0,27.058823529411764,32,87,6
4.3243,4560,37.0,48.0,27,0,6
4.3193,1429910,18361.0,35.714285714285715,9,70,3
4.8571,4050,28.0,3.1666666666666665,15,58,0
4.2561,6913,82.0,33.529411764705884,17,69,6
4.2634,82007,2737.0,92.0,27,14,9
3.0667,5784,90.0,253.33333333333334,31,62,1
3.9366,40584,331.0,9.75,18,48,0
4.2222,5370,63.0,188.23529411764707,25,68,6
4.0233,3143,946.0,41.0,10,57,6
4.3889,10882,54.0,110.0,19,22,9
3.7619,32122,189.0,22.941176470588236,37,63,6
4.4954,47262,327.0,4.935064935064935,37,63,0
4.1823,40844,203.0,5.714285714285714,37,63,0
4.2126,109317,1209.0,57.0,37,63,9
4.2815,28381,238.0,6.440677966101695,37,63,0
3.9134,76990,1812.0,74.0,37,63,1
4.4974,131754,569.0,11.19047619047619,37,63,4
4.303,27904,198.0,5.8,37,63,0
3.8455,85273,932.0,65.0,37,63,9
4.1852,5470,27.0,66.47058823529412,22,30,6
4.4364,9209,55.0,36.470588235294116,22,30,6
4.4977,72160,1296.0,13.529411764705884,46,21,0
4.6765,114670,4792.0,25.384615384615383,46,21,0
4.475,45201,760.0,5.238095238095238,46,21,0
4.3958,22592,331.0,5.238095238095238,46,21,0
4.0789,10426,38.0,89.41176470588236,46,21,1
4.1935,8585,31.0,9.411764705882353,46,21,0
4.5619,14253,315.0,33.0,46,21,0
4.3571,42439,392.0,27.2,46,21,4
4.6229,10074,236.0,55.294117647058826,46,21,6
3.6667,6055,24.0,158.0,46,21,1
